epoch,loss_total,loss_data,loss_physics,loss_ic,L_0_0,L_1_0,L_0_1,L_1_1,U_0_0,U_1_0,U_0_1,U_1_1,T_0_0,T_1_0,T_0_1,T_1_1,d_0_0,d_1_0,d_0_1,d_1_1
0,8.039512634277344,0.6054432988166809,6.815103054046631,0.6189656257629395,0.9990004301071167,0.9990004301071167,0.9990004301071167,0.9990004301071167,2.9990031719207764,2.9990005493164062,2.9970011711120605,2.9990005493164062,1.9990047216415405,1.9990004301071167,1.9980008602142334,1.9990004301071167,4.0001983642578125,4.0,3.9997005462646484,4.0
1,7.023068428039551,0.4346492290496826,6.135039806365967,0.45337966084480286,0.998004674911499,0.998004674911499,0.9980034828186035,0.9980034828186035,2.9980084896087646,2.9980082511901855,2.9940104484558105,2.998004674911499,1.9987531900405884,1.9987475872039795,1.996006965637207,1.9987475872039795,4.003176212310791,4.00297737121582,3.996725559234619,4.0029778480529785
2,7.276764869689941,0.4628467857837677,6.360321998596191,0.453595906496048,0.9970097541809082,0.9970097541809082,0.9970078468322754,0.9970078468322754,2.997016429901123,2.997015953063965,2.991023540496826,2.9970107078552246,1.998595118522644,1.9985347986221313,1.9940156936645508,1.9985358715057373,4.006503582000732,4.006175518035889,3.9934043884277344,4.006181240081787
3,7.334802150726318,0.42169421911239624,6.479384422302246,0.433723509311676,0.9960168600082397,0.996016800403595,0.9960139989852905,0.9960139989852905,2.996026039123535,2.996025562286377,2.988041877746582,2.9960193634033203,1.9983609914779663,1.9982643127441406,1.992027997970581,1.9982632398605347,4.0096259117126465,4.009133338928223,3.9903111457824707,4.009133815765381
4,6.866091251373291,0.3624502122402191,6.081068992614746,0.42257216572761536,0.9950271248817444,0.9950271248817444,0.995022714138031,0.9950227737426758,2.995039939880371,2.995039463043213,2.9850683212280273,2.9950315952301025,1.9981412887573242,1.9980106353759766,1.9900455474853516,1.998006820678711,4.012774467468262,4.0121331214904785,3.987196445465088,4.012128829956055
5,6.757999897003174,0.3634546399116516,6.025230407714844,0.36931487917900085,0.9940398335456848,0.9940398335456848,0.9940332770347595,0.9940334558486938,2.994058132171631,2.9940574169158936,2.982100009918213,2.9940476417541504,1.9979970455169678,1.997840166091919,1.9880666732788086,1.9978338479995728,4.016193389892578,4.015442371368408,3.983816623687744,4.015435218811035
6,6.966555595397949,0.3704777657985687,6.238743782043457,0.35733428597450256,0.9930542707443237,0.9930542707443237,0.9930457472801208,0.9930459260940552,2.9930801391601562,2.993079423904419,2.979137420654297,2.9930672645568848,1.9979066848754883,1.99773108959198,1.9860914945602417,1.9977222681045532,4.0198073387146,4.018977165222168,3.9802446365356445,4.018967628479004
7,6.610345840454102,0.33122122287750244,5.951146602630615,0.32797834277153015,0.9920719265937805,0.992071807384491,0.9920605421066284,0.9920607805252075,2.9921061992645264,2.992105484008789,2.976181745529175,2.9920904636383057,1.9978141784667969,1.997642993927002,1.9841210842132568,1.9976297616958618,4.023431777954102,4.02260160446167,3.9766838550567627,4.022587299346924
8,6.112565040588379,0.28145313262939453,5.548392295837402,0.2827197313308716,0.9910935163497925,0.9910934567451477,0.9910787343978882,0.9910792112350464,2.9911365509033203,2.9911348819732666,2.973236560821533,2.991116762161255,1.9976834058761597,1.997445821762085,1.9821574687957764,1.9974288940429688,4.02693510055542,4.025854587554932,3.973252058029175,4.025837421417236
9,5.762012481689453,0.2355954945087433,5.29734468460083,0.2290721982717514,0.9901207089424133,0.990120530128479,0.9901015758514404,0.9901026487350464,2.99017333984375,2.990170478820801,2.9703056812286377,2.9901485443115234,1.9975080490112305,1.9971773624420166,1.98020339012146,1.997155785560608,4.030277729034424,4.028820037841797,3.9699814319610596,4.0287981033325195
